Age,PAtt,RuAtt,Cmp,Ctch%,DK Pt,Date,Day,FD Pt,Fant Pt,Fmb,G#,H/A,Int,Lg,Name,Number of Records,Opp,Rec,Result,Rk,ReTd,PTd,RuTD,Tgt,Tm,Week,RuY/A,ReY/R,ReY/Tgt,ReYds,PYds,RuYds
30-099,0,0,0,0.833,9.4,12/29/13,Sun,6.9,4.4,0,16,,0,NFL,Greg Jennings\JennGr00,1,DET,5,W 14-13,4095,0,0,0,6,MIN,17,,8.8,7.33,44,0,0
34-148,0,0,0,0.667,6.4,12/6/15,Sun,5.4,4.4,0,12,@,0,NFL,Andre Johnson\JohnAn02,1,PIT,2,L 10-45,4096,0,0,0,3,IND,13,,22,14.67,44,0,0
34-106,0,0,0,1,8.4,10/25/15,Sun,6.4,4.4,0,7,,0,NFL,Andre Johnson\JohnAn02,1,NOR,4,L 21-27,4097,0,0,0,4,IND,7,,11,11,44,0,0
29-224,0,0,0,0.571,8.4,11/10/13,Sun,6.4,4.4,0,9,,0,NFL,James Jones\JoneJa04,1,PHI,4,L 13-27,4098,0,0,0,7,GNB,10,,11,6.29,44,0,0
26-330,0,0,0,0.286,6.4,1/1/17,Sun,5.4,4.4,0,16,@,0,NFL,Jermaine Kearse\KearJe01,1,SFO,2,W 25-23,4099,0,0,0,7,SEA,17,,22,6.29,44,0,0
24-304,1,1,0,0.75,7.4,9/8/13,Sun,5.9,4.4,0,1,,0,NFL,Jeremy Kerley\KerlJe00,1,TAM,3,W 18-17,4100,0,0,0,4,NYJ,1,-1,15,11.25,45,0,-1
26-050,1,2,0,0.5,5.4,12/28/14,Sun,4.9,4.4,0,16,@,0,NFL,Jeremy Kerley\KerlJe00,1,MIA,1,W 37-24,4101,0,0,0,2,NYJ,17,5.5,33,16.5,33,0,11
26-171,0,0,0,1,5.4,1/1/17,Sun,4.9,4.4,0,16,@,0,NFL,Tavarres King\KingTa00,1,WAS,1,W 19-10,4102,0,0,0,1,NYG,17,,44,44,44,0,0
29-330,0,0,0,0.667,8.4,9/29/16,Thu,6.4,4.4,0,4,,0,NFL,Brandon LaFell\LaFeBr00,1,MIA,4,W 22-7,4103,0,0,0,6,CIN,4,,11,7.33,44,0,0
25-338,0,0,0,1,7.4,10/7/12,Sun,5.9,4.4,0,5,,0,NFL,Brandon LaFell\LaFeBr00,1,SEA,3,L 12-16,4104,0,0,0,3,CAR,5,,14.67,14.67,44,0,0
24-305,0,0,0,0.714,9.4,9/25/16,Sun,6.9,4.4,0,3,,0,NFL,Marqise Lee\LeexMa00,1,BAL,5,L 17-19,4105,0,0,0,7,JAX,3,,8.8,6.29,44,0,0
25-009,0,2,0,0.333,7.4,12/4/16,Sun,5.9,4.4,0,12,,0,NFL,Marqise Lee\LeexMa00,1,DEN,3,L 10-20,4106,0,0,0,9,JAX,13,5,11.33,3.78,34,0,10
23-338,0,1,0,0.75,7.4,9/26/16,Mon,5.9,4.4,0,3,,0,NFL,Tommylee Lewis\LewiTo00,1,ATL,3,L 32-45,4107,0,0,0,4,NOR,3,1,14.33,10.75,43,0,1
30-196,0,0,0,0.6,7.4,10/5/14,Sun,5.9,4.4,0,5,@,0,NFL,Brandon Marshall\MarsBr00,1,CAR,3,L 24-31,4108,0,0,0,5,CHI,5,,14.67,8.8,44,0,0
23-087,0,0,0,0.714,9.4,10/11/15,Sun,6.9,4.4,0,5,,0,NFL,Jordan Matthews\MattJo00,1,NOR,5,W 39-17,4109,0,0,0,7,PHI,5,,8.8,6.29,44,0,0
23-092,0,2,0,1,8.4,11/25/12,Sun,6.4,4.4,0,11,,0,NFL,Dexter McCluster\McClDe00,1,DEN,4,L 9-17,4110,0,0,0,4,KAN,12,11.5,5.25,5.25,21,0,23
23-303,0,4,0,0.75,7.4,11/20/16,Sun,5.9,4.4,0,10,@,0,NFL,Ty Montgomery\MontTy01,1,WAS,3,L 24-42,4111,0,0,0,4,GNB,11,4.25,9,6.75,27,0,17
27-038,0,0,0,0.75,7.4,12/15/13,Sun,5.9,4.4,0,14,@,0,NFL,David Nelson\NelsDa01,1,CAR,3,L 20-30,4112,0,0,0,4,NYJ,15,,14.67,11,44,0,0
24-274,0,0,0,0.6,7.4,10/14/12,Sun,5.9,4.4,0,6,@,0,NFL,Hakeem Nicks\NickHa01,1,SFO,3,W 26-3,4113,0,0,0,5,NYG,6,,14.67,8.8,44,0,0
26-293,0,0,0,0.75,7.4,11/3/14,Mon,5.9,4.4,0,9,@,0,NFL,Hakeem Nicks\NickHa01,1,NYG,3,W 40-24,4114,0,0,0,4,IND,9,,14.67,11,44,0,0
24-165,0,0,0,0.833,9.4,10/19/15,Mon,6.9,4.4,0,6,@,0,NFL,Rueben Randle\RandRu00,1,PHI,5,L 7-27,4115,0,0,0,6,NYG,6,,8.8,7.33,44,0,0
24-349,0,0,0,0.417,9.4,12/23/12,Sun,6.9,4.4,0,15,,0,NFL,Andre Roberts\RobeAn00,1,CHI,5,L 13-28,4116,0,0,0,12,ARI,16,,8.8,3.67,44,0,0
27-118,0,0,0,1,7.4,12/18/16,Sun,5.9,4.4,0,14,,0,NFL,Mohamed Sanu\SanuMo00,1,SFO,3,W 41-13,4117,0,0,0,3,ATL,15,,14.67,14.67,44,0,0
24-052,0,0,0,0.833,9.4,10/13/13,Sun,6.9,4.4,0,6,@,0,NFL,Mohamed Sanu\SanuMo00,1,BUF,5,W 27-24,4118,0,0,0,6,CIN,6,,8.8,7.33,44,0,0
24-025,0,1,0,0.625,9.4,9/16/13,Mon,6.9,4.4,0,2,,0,NFL,Mohamed Sanu\SanuMo00,1,PIT,5,W 20-10,4119,0,0,0,8,CIN,2,4,8,5,40,0,4
34-224,0,0,0,0.5,5.4,12/22/13,Sun,4.9,4.4,0,15,,0,NFL,Steve Smith\SmitSt01,1,NOR,1,W 17-13,4120,0,0,0,2,CAR,16,,44,22,44,0,0
26-286,0,0,0,0.5,6.4,11/8/15,Sun,5.4,4.4,0,9,,0,NFL,Torrey Smith\SmitTo02,1,ATL,2,W 17-16,4121,0,0,0,4,SFO,9,,22,11,44,0,0
22-345,0,0,0,0.714,9.4,9/27/15,Sun,6.9,4.4,0,3,@,0,NFL,Willie Snead\SneaWi00,1,CAR,5,L 22-27,4122,0,0,0,7,NOR,3,,8.8,6.29,44,0,0
24-087,0,0,0,0.875,12.4,10/28/12,Sun,7.9,4.4,1,8,@,0,NFL,Golden Tate\TateGo00,1,DET,7,L 24-28,4123,0,0,0,8,SEA,8,,9.14,8,64,0,0
26-071,0,0,0,0.583,11.4,10/12/14,Sun,7.9,4.4,0,6,@,0,NFL,Golden Tate\TateGo00,1,MIN,7,W 17-3,4124,0,0,0,12,DET,6,,6.29,3.67,44,0,0
26-123,0,0,0,0.625,9.4,12/2/12,Sun,6.9,4.4,0,12,@,0,NFL,Mike Wallace\WallMi00,1,BAL,5,W 23-20,4125,0,0,0,8,PIT,13,,8.8,5.5,44,0,0
32-100,0,0,0,0.545,10.4,12/6/15,Sun,7.4,4.4,0,12,@,0,NFL,Nate Washington\WashNa00,1,BUF,6,L 21-30,4126,0,0,0,11,HOU,13,,7.33,4,44,0,0
23-073,0,0,0,0.8,8.4,11/26/15,Thu,6.4,4.4,0,11,@,0,NFL,Marquess Wilson\WilsMa02,1,GNB,4,W 17-13,4127,0,0,0,5,CHI,12,,11,8.8,44,0,0
23-227,0,0,0,0.444,8.4,11/23/15,Mon,6.4,4.4,0,10,@,0,NFL,Robert Woods\WoodRo02,1,NWE,4,L 13-20,4128,0,0,0,9,BUF,11,,11,4.89,44,0,0
21-207,0,0,0,0.5,8.4,11/3/13,Sun,6.4,4.4,0,9,,0,NFL,Robert Woods\WoodRo02,1,KAN,4,L 13-23,4129,0,0,0,8,BUF,9,,11,5.5,44,0,0
23-254,0,0,0,0.667,8.4,12/20/15,Sun,6.4,4.4,0,14,@,0,NFL,Robert Woods\WoodRo02,1,WAS,4,L 25-35,4130,0,0,0,6,BUF,15,,11,7.33,44,0,0
24-313,0,0,0,0.5,9.4,9/21/14,Sun,6.9,4.4,0,3,@,0,NFL,Kendall Wright\WrigKe01,1,CIN,5,L 7-33,4131,0,0,0,10,TEN,3,,8.8,4.4,44,0,0
23-237,0,0,0,0.571,8.3,1/1/17,Sun,6.3,4.3,0,16,,0,NFL,Robby Anderson\AndeRo04,1,BUF,4,W 30-10,4132,0,0,0,7,NYJ,17,,10.75,6.14,43,0,0
32-167,0,0,0,0.8,8.3,10/4/15,Sun,6.3,4.3,0,4,@,0,NFL,Jason Avant\AvanJa00,1,CIN,4,L 21-36,4133,0,0,0,5,KAN,4,,10.75,8.6,43,0,0
33-073,0,1,0,0.375,7.3,12/15/13,Sun,5.8,4.3,0,14,@,0,NFL,Anquan Boldin\BoldAn00,1,TAM,3,W 33-14,4134,0,0,0,8,SFO,15,0,14.33,5.38,43,0,0
23-343,0,0,0,0.167,5.3,10/13/13,Sun,4.8,4.3,0,5,@,0,NFL,Jarrett Boykin\BoykJa00,1,BAL,1,W 19-17,4135,0,0,0,6,GNB,6,,43,7.17,43,0,0
28-034,0,0,0,0.375,7.3,10/23/16,Sun,5.8,4.3,0,7,,0,NFL,Kenny Britt\BritKe00,1,NYG,3,L 10-17,4136,0,0,0,8,LAR,7,,14.33,5.38,43,0,0
28-062,0,0,0,0.714,9.3,11/20/16,Sun,6.8,4.3,0,10,,0,NFL,Kenny Britt\BritKe00,1,MIA,5,L 10-14,4137,0,0,0,7,LAR,11,,8.6,6.14,43,0,0
24-192,0,0,0,0.667,8.3,10/12/14,Sun,6.3,4.3,0,5,,0,NFL,John Brown\BrowJo02,1,WAS,4,W 30-20,4138,0,0,0,6,ARI,6,,10.75,7.17,43,0,0
24-323,0,0,0,0.6,7.3,12/29/13,Sun,5.8,4.3,0,16,@,0,NFL,Mike Brown\BrowMi00,1,IND,3,L 10-30,4139,0,0,0,5,JAX,17,,14.33,8.6,43,0,0
24-228,0,0,0,0.8,8.3,12/6/15,Sun,6.3,4.3,0,12,@,0,NFL,Jeremy Butler\ButlJe01,1,MIA,4,L 13-15,4140,0,0,0,5,BAL,13,,10.75,8.6,43,0,0
26-027,0,1,0,0.714,9.3,9/18/16,Sun,6.8,4.3,0,2,@,0,NFL,Randall Cobb\CobbRa00,1,MIN,5,L 14-17,4141,0,0,0,7,GNB,2,1,8.4,6,42,0,1
23-322,0,0,0,0.571,8.3,9/11/16,Sun,6.3,4.3,0,1,,0,NFL,Chris Conley\ConlCh00,1,SDG,4,W 33-27,4142,0,0,0,7,KAN,1,,10.75,6.14,43,0,0
32-153,0,0,0,0.5,6.3,11/16/14,Sun,5.3,4.3,0,11,,0,NFL,Jerricho Cotchery\CotcJe00,1,ATL,2,L 17-19,4143,0,0,0,4,CAR,11,,21.5,10.75,43,0,0
27-014,0,0,0,0.625,9.3,9/28/14,Sun,6.8,4.3,0,4,,0,NFL,Michael Crabtree\CrabMi00,1,PHI,5,W 26-21,4144,0,0,0,8,SFO,4,,8.6,5.38,43,0,0
28-364,0,0,0,0.8,8.3,9/15/13,Sun,6.3,4.3,0,2,,0,NFL,Harry Douglas\DougHa00,1,STL,4,W 31-24,4145,0,0,0,5,ATL,2,,10.75,8.6,43,0,0
32-111,0,0,0,0.6,7.3,12/20/15,Sun,5.8,4.3,0,14,@,0,NFL,Larry Fitzgerald\FitzLa00,1,PHI,3,W 40-17,4146,0,0,0,5,ARI,15,,14.33,8.6,43,0,0
30-036,0,0,0,0.5,7.3,10/6/13,Sun,5.8,4.3,0,5,,0,NFL,Larry Fitzgerald\FitzLa00,1,CAR,3,W 22-6,4147,0,0,0,6,ARI,5,,14.33,7.17,43,0,0
31-050,0,0,0,0.571,8.3,10/28/12,Sun,6.3,4.3,0,7,@,0,NFL,Malcom Floyd\FloyMa00,1,CLE,4,L 6-7,4148,0,0,0,7,SDG,8,,10.75,6.14,43,0,0
24-125,0,0,0,0.5,7.3,10/26/14,Sun,5.8,4.3,0,8,@,0,NFL,Corey Fuller\FullCo00,1,ATL,3,W 22-21,4149,0,0,0,6,DET,8,,14.33,7.17,43,0,0
30-108,0,0,0,1,8.3,11/24/16,Thu,6.3,4.3,0,11,@,0,NFL,Pierre Garcon\GarcPi00,1,DAL,4,L 26-31,4150,0,0,0,4,WAS,12,,10.75,10.75,43,0,0
29-106,0,0,0,0.75,7.3,11/22/15,Sun,5.8,4.3,0,10,@,0,NFL,Pierre Garcon\GarcPi00,1,CAR,3,L 16-44,4151,0,0,0,4,WAS,11,,14.33,10.75,43,0,0
25-354,0,0,0,0.8,8.3,11/7/16,Mon,6.3,4.3,0,9,@,0,NFL,Marquise Goodwin\GoodMa00,1,SEA,4,L 25-31,4152,0,0,0,5,BUF,9,,10.75,8.6,43,0,0
26-029,0,0,0,0.75,7.3,12/18/16,Sun,5.8,4.3,0,14,,0,NFL,Marquise Goodwin\GoodMa00,1,CLE,3,W 33-13,4153,0,0,0,4,BUF,15,,14.33,10.75,43,0,0
23-180,0,0,0,0.75,7.3,10/9/16,Sun,5.8,4.3,0,4,@,0,NFL,Dorial Green-Beckham\GreeDo00,1,DET,3,L 23-24,4154,0,0,0,4,PHI,5,,14.33,10.75,43,0,0
28-039,0,0,0,1,12.3,10/25/15,Sun,11.3,4.3,0,7,,0,NFL,Dwayne Harris\HarrDw00,1,DAL,2,W 27-20,4155,0,0,0,2,NYG,7,,21.5,21.5,43,0,0
29-194,0,0,0,0.75,7.3,9/20/15,Sun,5.8,4.3,0,2,,0,NFL,Andrew Hawkins\HawkAn00,1,TEN,3,W 28-14,4156,0,0,0,4,CLE,2,,14.33,10.75,43,0,0
25-197,0,0,0,0.6,7.3,9/10/12,Mon,5.8,4.3,0,1,,0,NFL,Darrius Heyward-Bey\HeywDa00,1,SDG,3,L 14-22,4157,0,0,0,5,OAK,1,,14.33,8.6,43,0,0
23-334,0,0,0,0.625,9.3,10/14/13,Mon,6.8,4.3,0,6,@,0,NFL,T.Y. Hilton\HiltT.00,1,SDG,5,L 9-19,4158,0,0,0,8,IND,6,,8.6,5.38,43,0,0
26-345,0,0,0,1,9.3,10/4/15,Sun,6.8,4.3,0,4,,0,NFL,Chris Hogan\HogaCh00,1,NYG,5,L 10-24,4159,0,0,0,5,BUF,4,,8.6,8.6,43,0,0
26-058,0,0,0,0.333,7.3,12/21/14,Sun,5.8,4.3,0,15,@,0,NFL,Chris Hogan\HogaCh00,1,OAK,3,L 24-26,4160,0,0,0,9,BUF,16,,14.33,4.78,43,0,0
25-360,0,0,0,0.833,10.3,10/19/14,Sun,6.8,4.3,1,7,,0,NFL,Chris Hogan\HogaCh00,1,MIN,5,W 17-16,4161,0,0,0,6,BUF,7,,12.6,10.5,63,0,0
24-201,0,0,0,0.5,7.3,12/24/16,Sat,5.8,4.3,0,15,,0,NFL,DeAndre Hopkins\HopkDe00,1,CIN,3,W 12-10,4162,0,0,0,6,HOU,16,,14.33,7.17,43,0,0
27-287,0,0,0,0.556,9.3,11/13/16,Sun,6.8,4.3,0,10,,0,NFL,Dontrelle Inman\InmaDo00,1,MIA,5,L 24-31,4163,0,0,0,9,SDG,10,,8.6,4.78,43,0,0
25-297,0,0,0,0.3,7.3,9/23/12,Sun,5.8,4.3,0,3,@,0,NFL,DeSean Jackson\JackDe00,1,ARI,3,L 6-27,4164,0,0,0,10,PHI,3,,14.33,4.3,43,0,0
29-012,0,0,0,0.5,6.3,12/13/15,Sun,5.3,4.3,0,13,@,0,NFL,DeSean Jackson\JackDe00,1,CHI,2,W 24-21,4165,0,0,0,4,WAS,14,,21.5,10.75,43,0,0
31-306,0,0,0,0.75,7.3,11/16/14,Sun,5.8,4.3,0,10,@,0,NFL,Vincent Jackson\JackVi00,1,WAS,3,W 27-7,4166,0,0,0,4,TAM,11,,14.33,10.75,43,0,0
30-001,0,0,0,0.5,7.3,9/22/13,Sun,5.8,4.3,0,3,,0,NFL,Greg Jennings\JennGr00,1,CLE,3,L 27-31,4167,0,0,0,6,MIN,3,,14.33,7.17,43,0,0
27-346,0,0,0,1,7.3,11/9/14,Sun,5.8,4.3,0,9,@,0,NFL,Steve Johnson\JohnSt00,1,NOR,3,W 27-24,4168,0,0,0,3,SFO,10,,14.33,14.33,43,0,0
30-174,0,0,0,0.6,7.3,9/21/14,Sun,5.8,4.3,0,3,@,0,NFL,James Jones\JoneJa04,1,NWE,3,L 9-16,4169,0,0,0,5,OAK,3,,14.33,8.6,43,0,0
23-355,0,0,0,0.455,9.3,10/28/12,Sun,6.8,4.3,0,8,,0,NFL,Jeremy Kerley\KerlJe00,1,MIA,5,L 9-30,4170,0,0,0,11,NYJ,8,,8.6,3.91,43,0,0
32-257,0,0,0,0.5,8.3,12/5/16,Mon,6.3,4.3,0,12,,0,NFL,Brandon Marshall\MarsBr00,1,IND,4,L 10-41,4171,0,0,0,8,NYJ,13,,10.75,5.38,43,0,0
24-014,0,0,0,0.6,7.3,9/8/13,Sun,5.8,4.3,0,1,@,0,NFL,Dexter McCluster\McClDe00,1,JAX,3,W 28-2,4172,0,0,0,5,KAN,1,,14.33,8.6,43,0,0
24-098,0,1,0,0.833,9.3,12/1/13,Sun,6.8,4.3,0,12,,0,NFL,Dexter McCluster\McClDe00,1,DEN,5,L 28-35,4173,0,0,0,6,KAN,13,0,8.6,7.17,43,0,0
23-363,0,0,0,0.667,8.3,12/6/12,Thu,6.3,4.3,0,13,,0,NFL,Denarius Moore\MoorDe02,1,DEN,4,L 13-26,4174,0,0,0,6,OAK,14,,10.75,7.17,43,0,0
24-324,0,0,0,0.5,9.3,12/3/12,Mon,6.8,4.3,0,12,@,0,NFL,Hakeem Nicks\NickHa01,1,WAS,5,L 16-17,4175,0,0,0,10,NYG,13,,8.6,4.3,43,0,0
24-001,0,0,0,0.5,9.3,10/17/16,Mon,6.8,4.3,0,6,@,0,NFL,Charone Peake\PeakCh00,1,ARI,5,L 3-28,4176,0,0,0,10,NYJ,6,,8.6,4.3,43,0,0
28-031,0,8,0,0.333,5.3,11/27/16,Sun,4.8,4.3,0,11,,0,NFL,Bilal Powell\PoweBi00,1,NWE,1,L 17-22,4177,0,0,0,3,NYJ,12,4.5,7,2.33,7,0,36
21-230,0,0,0,0.25,5.3,12/23/12,Sun,4.8,4.3,0,15,@,0,NFL,Rueben Randle\RandRu00,1,BAL,1,L 14-33,4178,0,0,0,4,NYG,16,,43,10.75,43,0,0
25-319,0,0,0,0.6,7.3,11/24/13,Sun,5.8,4.3,0,11,,0,NFL,Andre Roberts\RobeAn00,1,IND,3,W 40-11,4179,0,0,0,5,ARI,12,,14.33,8.6,43,0,0
25-244,0,0,0,0.333,5.3,10/4/15,Sun,4.8,4.3,0,4,,0,NFL,Rashad Ross\RossRa00,1,PHI,1,W 23-20,4180,0,0,0,3,WAS,4,,43,14.33,43,0,0
30-141,0,0,0,0.778,11.3,10/9/16,Sun,7.8,4.3,1,5,@,0,NFL,Eddie Royal\RoyaEd00,1,IND,7,L 23-29,4181,0,0,0,9,CHI,5,,6.14,4.78,43,0,0
25-209,0,0,0,0.667,8.3,10/11/12,Thu,6.3,4.3,0,5,@,0,NFL,Emmanuel Sanders\SandEm00,1,TEN,4,L 23-26,4182,0,0,0,6,PIT,6,,10.75,7.17,43,0,0
28-040,0,1,0,1,11.3,9/11/16,Sun,7.8,4.3,0,1,@,0,NFL,Golden Tate\TateGo00,1,IND,7,W 39-35,4183,0,0,0,7,DET,1,2,5.86,5.86,41,0,2
29-127,0,0,0,0.667,6.3,12/6/15,Sun,5.3,4.3,0,12,,0,NFL,Mike Wallace\WallMi00,1,SEA,2,L 7-38,4184,0,0,0,3,MIN,13,,21.5,14.33,43,0,0
29-033,0,0,0,0.6,7.3,9/30/12,Sun,5.8,4.3,0,4,@,0,NFL,Nate Washington\WashNa00,1,HOU,3,L 14-38,4185,0,0,0,5,TEN,4,,14.33,8.6,43,0,0
32-093,0,0,0,0.75,7.3,11/29/15,Sun,5.8,4.3,0,11,,0,NFL,Nate Washington\WashNa00,1,NOR,3,W 24-6,4186,0,0,0,4,HOU,12,,14.33,10.75,43,0,0
23-089,0,0,0,0.667,8.3,9/11/16,Sun,6.3,4.3,0,1,@,0,NFL,Sammy Watkins\WatkSa00,1,BAL,4,L 7-13,4187,0,0,0,6,BUF,1,,10.75,7.17,43,0,0
24-336,0,0,0,0.6,7.3,10/25/15,Sun,5.8,4.3,0,7,@,0,NFL,Nick Williams\WillNi02,1,TEN,3,W 10-7,4188,0,0,0,5,ATL,7,,14.33,8.6,43,0,0
24-258,0,0,0,0.5,7.3,12/24/16,Sat,5.8,4.3,0,15,,0,NFL,Robert Woods\WoodRo02,1,MIA,3,L 31-34,4189,0,0,0,6,BUF,16,,14.33,7.17,43,0,0
24-266,0,0,0,0.8,8.3,1/1/17,Sun,6.3,4.3,0,16,@,0,NFL,Robert Woods\WoodRo02,1,NYJ,4,L 10-30,4190,0,0,0,5,BUF,17,,10.75,8.6,43,0,0
23-003,0,0,0,0.5,7.2,12/27/15,Sun,5.7,4.2,0,15,@,0,NFL,Davante Adams\AdamDa01,1,ARI,3,L 8-38,4191,0,0,0,6,GNB,16,,14,7,42,0,0
23-332,0,0,0,0.5,7.2,11/20/16,Sun,5.7,4.2,0,10,@,0,NFL,Davante Adams\AdamDa01,1,WAS,3,L 24-42,4192,0,0,0,6,GNB,11,,14,7,42,0,0
23-118,0,0,0,0.571,8.2,9/19/16,Mon,6.2,4.2,0,2,@,0,NFL,Nelson Agholor\AghoNe00,1,CHI,4,W 29-14,4193,0,0,0,7,PHI,2,,10.5,6,42,0,0
31-168,0,0,0,0.5,6.2,10/5/14,Sun,5.2,4.2,0,5,,0,NFL,Jason Avant\AvanJa00,1,CHI,2,W 31-24,4194,0,0,0,4,CAR,5,,21,10.5,42,0,0
24-051,0,0,0,0.75,7.2,11/11/12,Sun,5.7,4.2,0,10,,0,NFL,Doug Baldwin\BaldDo00,1,NYJ,3,W 28-7,4195,0,0,0,4,SEA,10,,14,10.5,42,0,0
25-134,0,0,0,0.8,8.2,9/7/14,Sun,6.2,4.2,0,1,,0,NFL,Cole Beasley\BeasCo00,1,SFO,4,L 17-28,4196,0,0,0,5,DAL,1,,10.5,8.4,42,0,0
25-232,0,0,0,1,8.2,12/14/14,Sun,6.2,4.2,0,14,@,0,NFL,Cole Beasley\BeasCo00,1,PHI,4,W 38-27,4197,0,0,0,4,DAL,15,,10.5,10.5,42,0,0
32-053,0,0,0,0.25,6.2,11/25/12,Sun,5.2,4.2,0,11,@,0,NFL,Anquan Boldin\BoldAn00,1,SDG,2,W 16-13,4198,0,0,0,8,BAL,12,,21,5.25,42,0,0
30-014,0,0,0,0.5,7.2,10/5/14,Sun,5.7,4.2,0,5,@,0,NFL,Dwayne Bowe\BoweDw00,1,SFO,3,L 17-22,4199,0,0,0,6,KAN,5,,14,7,42,0,0
30-060,0,0,0,0.6,7.2,11/20/14,Thu,5.7,4.2,0,11,@,0,NFL,Dwayne Bowe\BoweDw00,1,OAK,3,L 20-24,4200,0,0,0,5,KAN,12,,14,8.4,42,0,0
22-223,0,0,0,0.571,8.2,12/15/13,Sun,6.2,4.2,0,14,@,0,NFL,Josh Boyce\BoycJo00,1,MIA,4,L 20-24,4201,0,0,0,7,NWE,15,,10.5,6,42,0,0
24-145,1,1,0,0.5,10.2,12/2/12,Sun,7.7,4.2,0,12,@,1,NFL,Antonio Brown\BrowAn04,1,BAL,5,W 23-20,4202,0,0,0,10,PIT,13,4,11.6,5.8,58,0,4
27-083,0,0,0,0.556,9.2,10/1/15,Thu,6.7,4.2,1,4,,0,NFL,Antonio Brown\BrowAn04,1,BAL,5,L 20-23,4203,0,0,0,9,PIT,4,,8.4,4.67,42,0,0
25-003,0,0,0,0.75,7.2,12/19/16,Mon,5.7,4.2,0,14,@,0,NFL,Corey Brown\BrowPh00,1,WAS,3,W 26-15,4204,0,0,0,4,CAR,15,,14,10.5,42,0,0
22-356,0,0,0,0.6,7.2,12/7/14,Sun,5.7,4.2,0,13,@,0,NFL,Corey Brown\BrowPh00,1,NOR,3,W 41-10,4205,0,0,0,5,CAR,14,,14,8.4,42,0,0
28-258,0,0,0,0.5,7.2,12/29/13,Sun,5.7,4.2,0,16,@,0,NFL,Andre Caldwell\CaldAn00,1,OAK,3,W 34-14,4206,0,0,0,6,DEN,17,,14,7,42,0,0
28-074,0,0,0,0.667,6.2,11/22/15,Sun,5.2,4.2,0,10,,0,NFL,Riley Cooper\CoopRi00,1,TAM,2,L 17-45,4207,0,0,0,3,PHI,11,,21,14,42,0,0
27-027,0,0,0,0.833,9.2,12/8/13,Sun,6.7,4.2,0,13,@,0,NFL,Victor Cruz\CruzVi00,1,SDG,5,L 14-37,4208,0,0,0,6,NYG,14,,8.4,7,42,0,0
25-314,0,0,0,0.75,10.2,9/20/12,Thu,7.2,4.2,0,3,@,0,NFL,Victor Cruz\CruzVi00,1,CAR,6,W 36-7,4209,0,0,0,8,NYG,3,,7,5.25,42,0,0
26-226,0,0,0,0.571,8.2,10/27/13,Sun,6.2,4.2,0,8,,0,NFL,Eric Decker\DeckEr00,1,WAS,4,W 45-21,4210,0,0,0,7,DEN,8,,10.5,6,42,0,0
26-272,0,0,0,0.4,6.2,12/12/13,Thu,5.2,4.2,0,14,,0,NFL,Eric Decker\DeckEr00,1,SDG,2,L 20-27,4211,0,0,0,5,DEN,15,,21,8.4,42,0,0
21-344,0,0,0,0.6,7.2,11/8/15,Sun,5.7,4.2,0,8,,0,NFL,Stefon Diggs\DiggSt00,1,STL,3,W 21-18,4212,0,0,0,5,MIN,9,,14,8.4,42,0,0
30-040,0,0,0,0.6,7.2,10/26/14,Sun,5.7,4.2,0,8,,0,NFL,Harry Douglas\DougHa00,1,DET,3,L 21-22,4213,0,0,0,5,ATL,8,,14,8.4,42,0,0
25-245,0,0,0,0.333,7.2,11/17/13,Sun,5.7,4.2,0,10,@,0,NFL,Kris Durham\DurhKr00,1,PIT,3,L 27-37,4214,0,0,0,9,DET,11,,14,4.67,42,0,0
27-137,0,1,0,0.286,6.2,10/6/13,Sun,5.2,4.2,1,5,@,0,NFL,Julian Edelman\EdelJu00,1,CIN,2,L 6-13,4215,0,0,0,7,NWE,5,7,17.5,5,35,0,7
24-139,0,0,0,0.6,7.2,10/17/16,Mon,5.7,4.2,0,6,@,0,NFL,Quincy Enunwa\EnunQu00,1,ARI,3,L 3-28,4216,0,0,0,5,NYJ,6,,14,8.4,42,0,0
24-207,0,1,0,0.2,5.2,12/24/16,Sat,4.7,4.2,0,15,@,0,NFL,Quincy Enunwa\EnunQu00,1,NWE,1,L 3-41,4217,0,0,0,5,NYJ,16,12,30,6,30,0,12
23-112,0,0,0,0.5,8.2,12/11/16,Sun,6.2,4.2,0,13,,0,NFL,Mike Evans\EvanMi00,1,NOR,4,W 16-11,4218,0,0,0,8,TAM,14,,10.5,5.25,42,0,0
34-107,0,0,0,0.5,7.2,12/24/15,Thu,5.7,4.2,0,15,@,0,NFL,Malcom Floyd\FloyMa00,1,OAK,3,L 20-23,4219,0,0,0,6,SDG,16,,14,7,42,0,0
24-229,0,0,0,0.8,8.2,10/4/15,Sun,6.2,4.2,0,4,@,0,NFL,Taylor Gabriel\GabrTa00,1,SDG,4,L 27-30,4220,0,0,0,5,CLE,4,,5.5,4.4,22,0,0
27-091,0,0,0,0.25,6.2,9/12/13,Thu,5.2,4.2,0,2,@,0,NFL,Clyde Gates\GateCl00,1,NWE,2,L 10-13,4221,0,0,0,8,NYJ,2,,21,5.25,42,0,0
27-102,0,0,0,0.833,9.2,11/23/14,Sun,6.7,4.2,2,11,@,0,NFL,Brandon Gibson\GibsBr00,1,DEN,5,L 36-39,4222,0,0,0,6,MIA,12,,8.4,7,42,0,0
