Age,RuAtt,PAtt,Cmp,Pos,Fant Pt,GS,G,Int,Name,Number of Records,Rank,Rec,RuTd,ReTD,PTD,Tgt,Team,RuYPA,RuYds,ReYds,PYds
27,0,0,0,TE,68,8,16,0,Jacob Tamme\TammJa00,1,172,52,0,2,0,85,DEN,,0,555,0
25,91,0,0,RB,68,0,12,0,Daniel Thomas\ThomDa03,1,173,15,4,0,0,22,MIA,3.57,325,156,0
32,0,0,0,TE,68,14,16,0,Ben Watson\WatsBe00,1,174,49,0,3,0,82,CLE,,0,501,0
21,71,0,0,RB,67,2,16,0,David Wilson\WilsDa01,1,175,4,4,1,0,9,NYG,5.04,358,34,0
29,95,0,0,RB,66,5,16,0,Jackie Battle\BattJa00,1,176,15,3,1,0,15,SDG,3.27,311,108,0
30,0,0,0,TE,66,15,16,0,Joel Dreessen\DreeJo00,1,177,41,0,5,0,58,DEN,,0,356,0
23,0,0,0,WR,66,3,16,0,Michael Floyd\FloyMi00,1,178,45,0,2,0,86,ARI,,0,562,0
27,3,1,0,WR,66,15,16,0,Josh Morgan\MorgJo00,1,179,48,0,2,0,73,WAS,8.33,25,510,0
29,0,0,0,WR,65,6,14,0,Jason Avant\AvanJa00,1,180,53,0,0,0,76,PHI,,0,648,0
28,0,0,0,TE,65,16,16,0,Anthony Fasano\FasaAn00,1,181,41,0,5,0,69,MIA,,0,332,0
25,1,0,0,WR,65,7,16,0,Emmanuel Sanders\SandEm00,1,182,44,0,1,0,75,PIT,4,4,626,0
22,108,0,0,RB,64,0,16,0,Bernard Pierce\PierBe00,1,183,7,1,0,0,11,BAL,4.93,532,47,0
31,0,0,0,WR,64,14,16,0,Kevin Walter\WaltKe00,1,184,41,0,2,0,68,HOU,,0,518,0
23,2,0,0,WR,64,8,10,0,Titus Young\YounTi00,1,185,33,0,4,0,56,DET,8,16,383,0
27,86,0,0,RB,62,5,6,0,Maurice Jones-Drew\DrewMa00,1,186,14,1,1,0,18,JAX,4.81,414,86,0
22,98,0,0,RB,62,0,16,0,Daryl Richardson\RichDa00,1,187,24,0,0,0,36,STL,4.85,475,163,0
23,62,0,0,RB,62,1,13,0,Shane Vereen\VereSh00,1,188,8,3,1,0,13,NWE,4.05,251,149,0
29,0,0,0,WR,61,5,8,0,Greg Jennings\JennGr00,1,189,36,0,4,0,62,GNB,,0,366,0
35,0,0,0,WR,61,2,16,0,Randy Moss\MossRa00,1,190,28,0,3,0,50,SFO,,0,434,0
25,93,0,0,RB,61,6,9,0,Jonathan Stewart\StewJo00,1,191,17,1,1,0,23,CAR,3.61,336,157,0
25,108,0,0,RB,59,4,10,0,Donald Brown\BrowDo00,1,192,9,1,0,0,13,IND,3.86,417,93,0
31,46,0,0,RB,59,1,14,0,Ronnie Brown\BrowRo05,1,193,49,0,0,0,59,SDG,4.78,220,371,0
24,135,0,0,RB,59,4,12,0,Alex Green\GreeAl00,1,194,18,0,0,0,30,GNB,3.44,464,125,0
27,0,0,0,TE,58,15,16,0,Zach Miller\MillZa01,1,195,38,0,3,0,53,SEA,,0,396,0
30,0,0,0,WR,57,8,16,0,Michael Jenkins\JenkMi00,1,196,40,0,2,0,72,MIN,,0,449,0
24,1,0,0,WR,56,5,14,0,Joe Morgan\MorgJo01,1,197,10,0,3,0,21,NOR,1,1,379,0
29,0,0,0,TE,56,4,15,0,Tony Scheffler\ScheTo00,1,198,42,0,1,0,85,DET,,0,504,0
24,0,0,0,WR,55,4,14,0,Doug Baldwin\BaldDo00,1,199,29,0,3,0,50,SEA,,0,366,0
22,0,0,0,WR,55,6,10,0,Alshon Jeffery\JeffAl00,1,200,24,0,3,0,48,CHI,,0,367,0
